tiempo,entrada
132,-1.4548
132.1,-1.4548
132.2,-1.4548
132.3,-1.4548
132.4,-1.4548
132.5,-1.4548
132.6,-1.4548
132.7,-1.4548
132.8,-1.4548
132.9,-1.4548
133,-1.4548
133.1,-1.4548
133.2,-1.4548
133.3,-1.4548
133.4,-1.4548
133.5,-1.4548
133.6,-1.4548
133.7,-1.4548
133.8,-1.4548
133.9,-1.4548
134,-1.4548
134.1,-1.4548
134.2,-1.4548
134.3,-1.4548
134.4,-1.4548
134.5,-1.4548
134.6,-1.4548
134.7,-1.4548
134.8,-1.4548
134.9,-1.4548
135,-1.7763
135.1,-1.7763
135.2,-1.7763
135.3,-1.7763
135.4,-1.7763
135.5,-1.7763
135.6,-1.7763
135.7,-1.7763
135.8,-1.7763
135.9,-1.7763
136,-1.7763
136.1,-1.7763
136.2,-1.7763
136.3,-1.7763
136.4,-1.7763
136.5,-1.7763
136.6,-1.7763
136.7,-1.7763
136.8,-1.7763
136.9,-1.7763
137,-1.7763
137.1,-1.7763
137.2,-1.7763
137.3,-1.7763
137.4,-1.7763
137.5,-1.7763
137.6,-1.7763
137.7,-1.7763
137.8,-1.7763
137.9,-1.7763
138,-1.7763
138.1,-1.7763
138.2,-1.7763
138.3,-1.7763
138.4,-1.7763
138.5,-1.7763
138.6,-1.7763
138.7,-1.7763
138.8,-1.7763
138.9,-1.7763
139,-1.7763
139.1,-1.7763
139.2,-1.7763
139.3,-1.7763
139.4,-1.7763
139.5,-1.7763
139.6,-1.7763
139.7,-1.7763
139.8,-1.7763
139.9,-1.7763
140,-1.7763
140.1,-1.7763
140.2,-1.7763
140.3,-1.7763
140.4,-1.7763
140.5,-1.7763
140.6,-1.7763
140.7,-1.7763
140.8,-1.7763
140.9,-1.7763
141,-1.7763
141.1,-1.7763
141.2,-1.7763
141.3,-1.7763
141.4,-1.7763
141.5,-1.7763
141.6,-1.7763
141.7,-1.7763
141.8,-1.7763
141.9,-1.7763
142,-1.7763
142.1,-1.7763
142.2,-1.7763
142.3,-1.7763
142.4,-1.7763
142.5,-1.7763
142.6,-1.7763
142.7,-1.7763
142.8,-1.7763
142.9,-1.7763
143,-1.7763
143.1,-1.7763
143.2,-1.7763
143.3,-1.7763
143.4,-1.7763
143.5,-1.7763
143.6,-1.7763
143.7,-1.7763
143.8,-1.7763
143.9,-1.7763
144,-1.7763
144.1,-1.7763
144.2,-1.7763
144.3,-1.7763
144.4,-1.7763
144.5,-1.7763
144.6,-1.7763
144.7,-1.7763
144.8,-1.7763
144.9,-1.7763
145,-1.7763
145.1,-1.7763
145.2,-1.7763
145.3,-1.7763
145.4,-1.7763
145.5,-1.7763
145.6,-1.7763
145.7,-1.7763
145.8,-1.7763
145.9,-1.7763
146,-1.7763
146.1,-1.7763
146.2,-1.7763
146.3,-1.7763
146.4,-1.7763
146.5,-1.7763
146.6,-1.7763
146.7,-1.7763
146.8,-1.7763
146.9,-1.7763
147,-1.7763
147.1,-1.7763
147.2,-1.7763
147.3,-1.7763
147.4,-1.7763
147.5,-1.7763
147.6,-1.7763
147.7,-1.7763
147.8,-1.7763
147.9,-1.7763
148,-1.7763
148.1,-1.7763
148.2,-1.7763
148.3,-1.7763
148.4,-1.7763
148.5,-1.7763
148.6,-1.7763
148.7,-1.7763
148.8,-1.7763
148.9,-1.7763
149,-1.7763
149.1,-1.7763
149.2,-1.7763
149.3,-1.7763
149.4,-1.7763
149.5,-1.7763
149.6,-1.7763
149.7,-1.7763
149.8,-1.7763
149.9,-1.7763
150,-0.3159
150.1,-0.3159
150.2,-0.3159
150.3,-0.3159
150.4,-0.3159
150.5,-0.3159
150.6,-0.3159
150.7,-0.3159
150.8,-0.3159
150.9,-0.3159
151,-0.3159
151.1,-0.3159
151.2,-0.3159
151.3,-0.3159
151.4,-0.3159
151.5,-0.3159
151.6,-0.3159
151.7,-0.3159
151.8,-0.3159
151.9,-0.3159
152,-0.3159
152.1,-0.3159
152.2,-0.3159
152.3,-0.3159
152.4,-0.3159
152.5,-0.3159
152.6,-0.3159
152.7,-0.3159
152.8,-0.3159
152.9,-0.3159
153,-0.3159
153.1,-0.3159
153.2,-0.3159
153.3,-0.3159
153.4,-0.3159
153.5,-0.3159
153.6,-0.3159
153.7,-0.3159
153.8,-0.3159
153.9,-0.3159
154,-0.3159
154.1,-0.3159
154.2,-0.3159
154.3,-0.3159
154.4,-0.3159
154.5,-0.3159
154.6,-0.3159
154.7,-0.3159
154.8,-0.3159
154.9,-0.3159
155,-0.3159
155.1,-0.3159
155.2,-0.3159
155.3,-0.3159
155.4,-0.3159
155.5,-0.3159
155.6,-0.3159
155.7,-0.3159
155.8,-0.3159
155.9,-0.3159
156,-0.3159
156.1,-0.3159
156.2,-0.3159
156.3,-0.3159
156.4,-0.3159
156.5,-0.3159
156.6,-0.3159
156.7,-0.3159
156.8,-0.3159
156.9,-0.3159
157,-0.3159
